FED,Mode,day,zthour,Binary_Pellets
FED015,empty,-5,22,10.0
FED015,empty,-5,23,7.0
FED015,empty,-4,0,10.0
FED015,empty,-4,2,3.0
FED015,empty,-4,3,13.0
FED015,empty,-4,5,7.0
FED015,empty,-4,6,2.0
FED015,empty,-4,7,4.0
FED015,empty,-4,8,4.0
FED015,empty,-4,9,6.0
FED015,empty,-4,10,4.0
FED015,empty,-4,11,14.0
FED015,empty,-4,12,10.0
FED015,empty,-4,13,4.0
FED015,empty,-4,14,13.0
FED015,empty,-4,15,15.0
FED015,empty,-4,16,13.0
FED015,empty,-4,17,18.0
FED015,empty,-4,18,15.0
FED015,empty,-4,19,13.0
FED015,empty,-4,21,19.0
FED015,empty,-4,22,8.0
FED015,empty,-4,23,6.0
FED015,empty,-3,0,18.0
FED015,empty,-3,2,5.0
FED015,empty,-3,3,8.0
FED015,empty,-3,4,8.0
FED015,empty,-3,6,6.0
FED015,empty,-3,8,9.0
FED015,empty,-3,10,11.0
FED015,empty,-3,11,4.0
FED015,empty,-3,12,13.0
FED015,empty,-3,13,9.0
FED015,empty,-3,14,10.0
FED015,empty,-3,15,11.0
FED015,empty,-3,16,24.0
FED015,empty,-3,17,21.0
FED015,empty,-3,18,19.0
FED015,empty,-3,19,6.0
FED015,empty,-3,21,19.0
FED015,empty,-3,22,2.0
FED015,empty,-3,23,15.0
FED015,empty,-2,0,2.0
FED015,empty,-2,1,4.0
FED015,empty,-2,2,4.0
FED015,empty,-2,4,4.0
FED015,empty,-2,5,13.0
FED015,empty,-2,6,1.0
FED015,empty,-2,7,3.0
FED015,empty,-2,8,12.0
FED015,empty,-2,9,3.0
FED015,empty,-2,10,6.0
FED015,empty,-2,11,13.0
FED015,empty,-2,12,5.0
FED015,empty,-2,13,19.0
FED015,empty,-2,14,9.0
FED015,empty,-2,15,17.0
FED015,empty,-2,16,20.0
FED015,empty,-2,17,17.0
FED015,empty,-2,18,28.0
FED015,empty,-2,19,6.0
FED015,empty,-2,21,24.0
FED015,empty,-2,22,2.0
FED015,empty,-2,23,3.0
FED016,empty,-5,0,10.0
FED016,empty,-5,2,9.0
FED016,empty,-5,3,8.0
FED016,empty,-5,4,10.0
FED016,empty,-5,5,6.0
FED016,empty,-5,6,10.0
FED016,empty,-5,7,6.0
FED016,empty,-5,8,6.0
FED016,empty,-5,9,5.0
FED016,empty,-5,10,17.0
FED016,empty,-5,11,6.0
FED016,empty,-5,12,9.0
FED016,empty,-5,13,15.0
FED016,empty,-5,14,14.0
FED016,empty,-5,15,18.0
FED016,empty,-5,16,19.0
FED016,empty,-5,17,17.0
FED016,empty,-5,18,9.0
FED016,empty,-5,20,13.0
FED016,empty,-5,21,11.0
FED016,empty,-5,22,9.0
FED016,empty,-5,23,4.0
FED016,empty,-3,0,9.0
FED016,empty,-3,2,10.0
FED016,empty,-3,3,6.0
FED016,empty,-3,4,7.0
FED016,empty,-3,5,5.0
FED016,empty,-3,6,5.0
FED016,empty,-3,7,1.0
FED016,empty,-3,8,15.0
FED016,empty,-3,9,10.0
FED016,empty,-3,10,7.0
FED016,empty,-3,11,12.0
FED016,empty,-3,12,5.0
FED016,empty,-3,13,12.0
FED016,empty,-3,14,18.0
FED016,empty,-3,15,9.0
