Time,553,549,561,EB0,E95,EA2,E94,E8D,hour,date,day,zthour
2025-01-13 23:00:00,10.5,16.5,10.9,48.9,26.4,23.3,17.6,2.73,23,2025-01-13,9,7
2025-01-14 00:00:00,3.68,3.64,1.73,7.75,16.0,15.4,30.4,35.2,0,2025-01-14,9,8
2025-01-14 01:00:00,0.907,0.0474,20.3,4.18,11.6,3.0,1.9,14.0,1,2025-01-14,9,9
2025-01-14 02:00:00,9.67,4.28,18.4,30.2,17.2,4.42,0.556,1.37,2,2025-01-14,9,10
2025-01-14 03:00:00,4.26,10.4,2.75,24.5,23.8,5.47,1.98,17.6,3,2025-01-14,9,11
2025-01-14 04:00:00,1.41,7.02,25.0,14.1,21.5,27.1,11.1,18.6,4,2025-01-14,9,12
2025-01-14 05:00:00,24.3,20.4,24.5,47.6,16.7,41.5,32.2,36.6,5,2025-01-14,9,13
2025-01-14 06:00:00,14.4,33.8,1.95,39.5,0.134,9.88,28.3,38.1,6,2025-01-14,9,14
2025-01-14 07:00:00,0.781,6.32,0.3,1.47,0.355,4.49,22.4,4.59,7,2025-01-14,9,15
2025-01-14 08:00:00,7.0,0.0986,0.0244,11.5,19.7,0.0244,0.135,0.132,8,2025-01-14,9,16
2025-01-14 09:00:00,0.174,0.322,1.37,0.543,0.969,0.0244,4.99,1.04,9,2025-01-14,9,17
2025-01-14 10:00:00,0.0244,0.674,0.503,0.2,0.482,0.0244,18.4,1.21,10,2025-01-14,9,18
2025-01-14 11:00:00,5.8,1.45,0.0244,15.7,1.19,4.09,0.0244,0.102,11,2025-01-14,9,19
2025-01-14 12:00:00,0.0244,0.316,9.68,1.07,3.48,0.0244,1.39,0.98,12,2025-01-14,9,20
2025-01-14 13:00:00,0.492,1.77,0.133,0.462,4.16,5.55,2.03,13.2,13,2025-01-14,9,21
2025-01-14 14:00:00,14.0,0.0917,2.93,5.91,16.6,10.6,0.449,0.0244,14,2025-01-14,9,22
2025-01-14 15:00:00,0.33,0.408,0.21,0.78,1.26,0.0244,19.1,1.08,15,2025-01-14,9,23
